,pl,es,ch,se,sk,lu,at,fr,ba,gr,uk,pt,cz,be,no,dk,it,bg,ro,ee,hu,mk,hr,de,fi,nl,ie,lv,al,si,rs,lt,me
pl,81.2,0.0,0.0,0.6,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0
es,0.0,217.79999999999995,0.0,0.0,0.0,0.0,0.0,16.9,0.0,0.0,0.0,7.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ch,0.0,0.0,39.6,0.0,0.0,0.0,2.4,9.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.5,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
se,0.6,0.0,0.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.098,2.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.2,3.1500000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0
sk,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
at,0.0,0.0,2.4,0.0,0.0,0.0,24.799999999999997,0.0,0.0,0.0,0.0,0.0,2.1,0.0,0.0,0.0,10.3,0.0,0.0,0.0,1.6,0.0,0.0,18.8,0.0,0.0,0.0,0.0,0.0,1.6,0.0,0.0,0.0
fr,0.0,16.9,9.5,0.0,0.0,0.0,0.0,262.5499999999999,0.0,0.0,15.0,0.0,0.0,7.6,0.0,0.0,6.5,0.0,0.0,0.0,0.0,0.0,0.0,8.9,0.0,0.0,5.7,0.0,0.0,0.0,0.0,0.0,0.0
ba,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1,0.0,1.4
gr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.2,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1.5,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0
