,pl,es,ch,se,sk,lu,at,fr,ba,gr,uk,pt,cz,be,no,dk,it,bg,ro,ee,hu,mk,hr,de,fi,nl,ie,lv,al,si,rs,lt,me
pl,3618.9423218159745,0.0,0.0,422.6963589540369,298.1651642294921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,480.56451718038693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,559.9904745173434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,348.7485424901443,0.0
es,0.0,8555.415149366336,0.0,0.0,0.0,0.0,0.0,792.5515435505417,0.0,0.0,0.0,988.1935535269965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ch,0.0,0.0,219.8225539111034,0.0,0.0,0.0,590.2121787708033,642.3836169691856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,157.9732663522534,0.0,0.0,0.0,0.0,0.0,0.0,175.4294926316553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
se,422.6963589540369,0.0,0.0,2426.4879488101146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1235.5567836735734,632.6827038107931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,859.419565978716,975.6834202784339,0.0,0.0,0.0,0.0,0.0,0.0,697.7501773973261,0.0
sk,298.1651642294921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,212.9842229485555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,171.9676665481043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,151.8060320441846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,162.3777054893929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
at,0.0,0.0,590.2121787708033,0.0,0.0,0.0,592.8640671239184,0.0,0.0,0.0,0.0,0.0,166.2798666736295,0.0,0.0,0.0,261.7435694816589,0.0,0.0,0.0,284.1972455883413,0.0,0.0,758.9263130442093,0.0,0.0,0.0,0.0,0.0,168.4714869703476,0.0,0.0,0.0
fr,0.0,792.5515435505417,642.3836169691856,0.0,0.0,0.0,0.0,11899.477437009738,0.0,0.0,587.4464268465804,0.0,0.0,622.3907801336229,0.0,0.0,1294.1363502484026,0.0,0.0,0.0,0.0,0.0,0.0,440.86308029633915,0.0,0.0,682.3124096108761,0.0,0.0,0.0,0.0,0.0,0.0
ba,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,181.9203641597059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,241.8780416346222,0.0,200.4938223711643
gr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,508.1600827967502,0.0,0.0,0.0,0.0,0.0,0.0,462.6023117462774,429.7593170426908,0.0,0.0,0.0,183.4691832433992,0.0,0.0,0.0,0.0,0.0,0.0,181.014667278649,0.0,0.0,0.0,0.0
uk,0.0,0.0,0.0,0.0,0.0,0.0,0.0,587.4464268465804,0.0,0.0,2863.617658793142,0.0,0.0,353.4963759701081,1621.4775313253654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,389.6752748443247,573.0277688519143,0.0,0.0,0.0,0.0,0.0,0.0
