,fr,be,no,ee,de,it,lv,si,es,pl,hu,gr,ro,cz,uk,me,se,pt,at,hr,al,nl,dk,ie,lt,lu,rs,ba,ch,sk,fi,mk,bg
fr,122256.28706271717,10014.421154025351,260389.5793588221,39293.650230711355,104040.86849739778,116711.22738248232,36748.33010836806,18198.732329605882,199272.77534845207,132382.375398636,24583.992347156283,71408.4216962281,99360.93556241631,39642.345667240734,109592.94339843973,26499.739889168242,145948.53783758826,47521.13397199489,51892.85752349084,20863.360003551963,29222.616259951625,13418.907953730908,45632.712134132285,21594.02766388361,34192.60696591411,9381.133318987819,27848.638546384067,23366.614986979825,18844.99743462026,24752.36347453936,95731.98877503446,31077.3855436777,35210.52265944513
be,10014.421154025351,0.0,13088.143654249605,2086.018153280162,3864.4824415902463,9374.720891650333,1945.073564883366,1173.971549229282,18510.353162400133,6858.379106142824,1486.864488104538,5009.990855496971,6230.414844017866,2035.117684541949,5119.019985096938,1833.803790149277,7333.202824438409,4043.929368664365,3033.4962995246096,1396.965357866958,2063.644802139458,248.5171493487252,1832.6928060168357,1200.126825979192,1803.053555849405,181.9321769397344,1845.292767734321,1586.83243402643,1310.496100798694,1413.802726675143,5212.05113575279,2141.160893824344,2324.42652562597
no,260389.5793588221,13088.143654249605,34848.14909636675,9529.72478439973,87384.03359477171,132443.8143746122,10375.673465075786,17473.064870047863,268573.2737878241,63497.41368893132,17074.86233345914,51145.28734889504,58811.79342014103,28082.486599398355,74060.70991910323,21294.524830218943,24633.151440095025,52507.94261497233,47887.55555508566,18710.89696563379,23032.035588964412,11368.780524076567,15412.67116451873,14441.342372322093,11081.11204321953,13778.776050691844,20364.73699802944,19730.660254773113,33276.224281470786,15619.207094514531,16659.91074452211,22851.971442000282,22474.044481704394
ee,39293.650230711355,2086.018153280162,9529.72478439973,0.0,11969.006694425661,16660.976287649628,266.5296440658069,2043.147425415471,40919.97625834036,5551.00876954821,1748.877741576844,5709.052542256637,5621.453505940948,3098.730524474109,14542.46279030823,2369.232757428495,3984.487147633242,8208.417679211778,5621.872391259942,2132.662261934173,2588.457439421555,1873.359786162975,2469.085879839203,2818.942484179052,500.4121818890277,2076.606511121474,2165.743222573403,2209.511386467071,4559.718960841215,1531.92310604661,1731.2646734197283,2497.425123965289,2306.64474188497
de,104040.86849739777,3864.4824415902463,87384.03359477172,11969.006694425661,18142.493779451324,59998.057081382285,10759.039353425313,6030.593522018136,157179.09445858301,32176.83008046876,7481.16650365521,30409.88708699941,34346.65956464913,8390.086926217758,54018.130656859496,10518.059913208652,45248.26318727322,34133.806064202625,14227.931345684978,7523.073488010028,12224.819868305458,3552.3285991491293,10214.66235624804,11669.609428162254,9603.390209949095,3274.6742957681286,10277.063221632703,8785.761578497886,9128.529580209673,6789.046584476255,32689.633700154896,12538.179023603238,13423.117898073144
it,116711.2273824823,9374.720891650333,132443.81437461218,16660.976287649628,59998.0570813823,19483.62473232129,15196.800811597224,4772.43493554855,119860.10718763027,51370.86856976703,6915.253005672553,15072.325821501625,27099.906064003695,15322.833973672332,84783.17294040785,5018.045193868251,70479.48452850411,27660.789980748617,17460.06750894371,4564.586580244493,5341.332097396171,10333.285340963055,25118.053319914237,15874.16847500699,13831.264907873141,8325.842645074923,6176.197852320125,4716.914145194929,11022.337772030281,7901.650010906667,42639.72020384493,6335.465409607414,8558.620274476341
lv,36748.33010836806,1945.073564883366,10375.673465075786,266.5296440658069,10759.039353425313,15196.800811597224,0.0,1798.595865739438,39019.087874798264,4344.576394572682,1487.463237479982,5177.183975992083,4834.622050608788,2636.596820071177,14202.15440237438,2104.82540899359,4383.93377383344,7897.258699652068,4916.739963367091,1878.271126620078,2322.612373849882,1749.520495460088,2302.440246416483,2773.545336292253,236.2464945161242,1915.840989511534,1899.783519998367,1949.239362745127,4155.3829755886145,1272.711756828421,2260.1573505387864,2230.895920398233,2043.621736809024
si,18198.732329605882,1173.971549229282,17473.064870047863,2043.147425415471,6030.593522018136,4772.43493554855,1798.595865739438,0.0,23020.036574499012,4879.817688173577,480.6817215452386,2678.726243293462,3093.326138756922,1076.6793403244733,12047.967367013747,663.1168461994835,8949.99142828443,5149.636623166745,820.3904704668803,224.0922113094332,903.0203834573359,1244.849383969424,2887.446226612993,2369.702507209255,1570.325957574611,997.583995713747,683.2805576334991,413.6075766589017,1328.6397608159095,591.6010367950663,5656.223980300759,967.5304158114471,1177.389683819583
es,199272.77534845207,18510.353162400133,268573.27378782403,40919.97625834036,157179.09445858293,119860.10718763029,39019.087874798264,23020.036574499012,58860.225996282956,155223.4456187254,28262.112950603994,65298.71385593468,102135.63811941128,51632.495290425824,127019.72403757543,27378.849497759264,153653.67949462333,13704.501479786497,69498.98299723047,24367.990282241277,28516.938222227618,21146.014345420957,56889.99899565328,20901.486879289845,37069.80319087305,18251.648146197746,29185.341102675255,25769.992627752086,33720.71740743462,28985.3241311108,93937.36207443733,30372.941798898628,34340.79400258782
pl,132382.37539863598,6858.379106142824,63497.41368893132,5551.00876954821,32176.83008046876,51370.86856976704,4344.576394572682,4879.817688173577,155223.44561872544,7889.375524342138,3572.9976616583344,19018.17242952048,15724.251826516294,5430.478323182491,60730.74334350604,6679.364070958783,29243.956485936593,32579.448321054013,12462.662581504344,5311.475991555719,7860.1004677521,6276.166346127363,9459.509265185834,12184.274670187386,3257.9049898718386,6411.409182967292,5829.235867103238,5758.747904992414,13166.829034748345,2512.8974291390123,19148.05547828731,7589.770025585756,7222.693692244859
